tag,dp,dp_eps,bie,smpc,test_acc,f1,ece,yeom_acc,yeom_auc,shokri_acc,shokri_auc,recon_mse,recon_psnr,recon_ssim,train_s,inf_ms,mem_mb,timestamp
baseline,False,,False,False,0.7884615384615384,0.8546255506607929,0.18305514963009423,0.619,0.5658539999999999,0.54,0.604934,0.011349598261648093,19.883771129854683,0.5073643051818021,0.16279890399982833,0.20063498018295953,5731.80859375,2026-04-18T20:38:46.278148+00:00
dp-only,True,1.0,False,False,0.7708333333333334,0.8440567066521265,0.19407655747655106,0.614,0.569638,0.519,0.597834,0.02433505384110291,16.56802090737362,0.42372744149936964,0.20041700000001583,0.21764224999980974,5822.72265625,2026-04-18T20:40:40.803081+00:00
bie-only,False,,True,False,0.7403846153846154,0.8258064516129032,0.22689472740659353,0.647,0.573096,0.553,0.624018,0.010911466787384467,20.04150897250756,0.5038814196028146,0.14608605099965644,0.1953714054879844,6013.5859375,2026-04-18T20:42:17.556464+00:00
smpc-only,False,,False,True,0.7660256410256411,0.841648590021692,0.2014514615711493,0.624,0.563126,0.529,0.6046879999999999,0.011399096804668581,19.870231052312324,0.5088064989525766,0.13572500999998738,0.20910309794188134,6093.69921875,2026-04-18T20:44:08.186663+00:00
dp+bie,True,1.0,True,False,0.7516025641025641,0.8317046688382194,0.21519099061305708,0.632,0.578484,0.523,0.5965560000000001,0.022060412591755316,16.977359711941265,0.43230477668802225,0.1456492770003024,0.22021534375001953,6288.0,2026-04-18T20:46:07.985898+00:00
dp+smpc,True,1.0,False,True,0.7708333333333334,0.8440567066521265,0.19407656330328715,0.614,0.569638,0.518,0.595932,0.023882812245907336,16.627333455371236,0.42307619290152243,0.16064863999963563,0.21242224885666905,6508.28125,2026-04-18T20:48:00.690963+00:00
bie+smpc,False,,True,True,0.7435897435897436,0.8275862068965517,0.21547438853826278,0.651,0.575172,0.537,0.605444,0.010887499615141722,20.054225195777146,0.5050055063069884,0.154676197000299,0.21561943711875334,6782.796875,2026-04-18T20:50:00.254348+00:00
all-three,True,1.0,True,True,0.7516025641025641,0.8317046688382194,0.21519099156825972,0.632,0.578484,0.523,0.5964659999999999,0.021346638379215886,17.090603849063264,0.43048911554954483,0.15559639700040861,0.21483222294224139,6977.48828125,2026-04-18T20:51:58.062673+00:00
